"City","State","First Name","Last Name ","Publication Date","Agent"
"Gallipolis","Ohio","J Gee",,"02-21-1844","local"
"Jackson","Ohio","T","Woodson","02-21-1844","local"
"Oberlin","Ohio","W P","Newman","02-21-1844","local"
"New York City","New York","T S","Wright","02-21-1844","local"
"Utica","New York","J","Fontain","02-21-1844","local"
"Buffalo","New York"," A H","Francis","02-21-1844","local"
"Detroit","Michigan","W C","Monroe","02-21-1844","local"
"Sharonville","Ohio","C","Smith","02-21-1844","local"
"Cincinnati","Ohio","Rev M M","Clark","02-21-1844","traveling"
"Sardinia","Ohio","Rev Fox",,"02-21-1844","traveling"
"Columbus","Ohio"," Rev T","Lawrence","02-21-1844","traveling"
"Jackson co","Ohio"," end of i4 ",,"02-21-1844","traveling"
"Cincinnati","Ohio","A M","Sumner","02-28-1844","local"
"Springfield","Ohio","R","Piles","02-28-1844","local"
"Urbana","Ohio","A","Kane","02-28-1844","local"
"Chillicothe","Ohio","James","Leach","02-28-1844","local"
"U Moody","Ohio","J","Burnett","02-28-1844","local"
"Lancaster","Ohio","N","Smith","02-28-1844","local"
"Zanesville","Ohio","H","Nusum","02-28-1844","local"
"Hillsboro","Ohio","N","Tailor","02-28-1844","local"
"Newark","Ohio","H","Robinson","02-28-1844","local"
"Cleveland","Ohio","J L","Watson","02-28-1844","local"
"Logan County","Ohio","Sen K","Artis Jr","02-28-1844","local"
"Gallipolis","Ohio","J","Gee","02-28-1844","local"
"Jackson","Ohio","T","Woodson","02-28-1844","local"
"Oberlin","Ohio","W P","Newman","02-28-1844","local"
"New York City","New York","T S","Wright","02-28-1844","local"
"Utica","New York","J","Fountain","02-28-1844","local"
"Buffalo","New York"," A H","Francis","02-28-1844","local"
"Detroit","Michigan","W C","Monroe","02-28-1844","local"
"Sharonville","Ohio","C","Smith","02-28-1844","local"
"Cincinnati","Ohio","Rey M M","Clark","02-28-1844","traveling"
"Sardinia","Ohio","Rev Fox",,"02-28-1844","traveling"
"Columbus","Ohio","Rev T","Lawrence","02-28-1844","traveling"
"Cincinnati","Ohio","W M","Yancy","02-21-1844","local"
"Zanesville","Ohio","W","Gasaway","02-21-1844","local"
"Cleveland","Ohio","R D","Kenney","02-21-1844","local"
"Sharonville","Ohio"," W","Polson","02-21-1844","local"
"Cincinnati","Ohio","W M","Yancy","02-28-1844","local"
"Zanesville","Ohio","W","Gasaway","02-28-1844","local"
"Cleveland","Ohio","R D","Kenney","02-28-1844","local"
"Sharonville","Ohio","W","Polson","02-28-1844","local"
