LOCAL AGENTS,Date,Agent
Granville O. ‘Ty Walker.,10-09-1844,local
Madison Ila.—A Duncan.,10-09-1844,local
"Indianopolis, Ia. J G Bretton.",10-09-1844,local
"Detroit, Mich.--R Banks, W C Monroe.",10-09-1844,local
Pikcton—-W Evans.,10-09-1844,local
"Richmond, Ross co. C Oston,",10-09-1844,local
"Sharonrille—-D Lucus, C Smith, W Polson.",10-09-1844,local
"Miami co. VT. Anderson, R. Smith.",10-09-1844,local
"Vanwertco. Il, Taylor.",10-09-1844,local
\Shelby co. H Galloway A N Redmon,10-09-1844,local
(Champaign co. D. Lancaster.,10-09-1844,local
"Crawford co. A, Allen.",10-09-1844,local
"New Albany, Ind.—G W Carter,",10-09-1844,local
| Mercer co. Rev. S Jones,10-09-1844,local
|Licking co. F J Bailes,10-09-1844,local
"| Madison co, C Lewis",10-09-1844,local
Greenfield.— A. .J Scot.,10-09-1844,local
"Liverpool, Eng.—U. Vi. R Lewis.",10-09-1844,local
"Liverpool, England—E R Lewis.",10-09-1844,local
"‘Cincinnati, Rev. C, Satchel, Rev. M.M Chark",10-09-1844,traveling
"yardina, Rev. E, Cumberland, Rev. S. Pex.",10-09-1844,traveling
"‘Logan co, Rev. M ‘T’. Nusum,",10-09-1844,traveling
Hamilton. Rey. W. C Yaney.,10-09-1844,traveling
Massillon. Rev. J. Thomas.,10-09-1844,traveling
"Mr, Pleasant, Rev. W. Newmon.",10-09-1844,traveling
"Jackson co, Rev. ‘T. Woodson.",10-09-1844,traveling
"Cincinnati W W Watson, A M Sumner,W tl Yancy.",10-16-1844,local
"Hamilton, Butler co.—H Simpson.",10-16-1844,local
"Dayton, O..  T. Jefferson.",10-16-1844,local
"Spring field W. Piles,",10-16-1844,local
"Urbanu~-L Adams,",10-16-1844,local
"Chillicothe J Burnett, James Leach.",10-16-1844,local
(Circleville U Glasspy.G Stanup.,10-16-1844,local
"Lancaster S Smith N Smith,",10-16-1844,local
"Zunesville 1, Martin tl Nusum, W Gasaway",10-16-1844,local
"Hillsboro J Tailor, N ‘Tailor.",10-16-1844,local
"Warren, Trumble co-—A Day",10-16-1844,local
Steubenville W Ferris.,10-16-1844,local
"Newark—W Jenkins, G W Roots",10-16-1844,local
"Cleveland J Bell J L Watson, R Robertsou.",10-16-1844,local
"Dublin S White, jr.",10-16-1844,local
Xenia W Roberts.,10-16-1844,local
"Logan County--D. D. Day, K Artis, jr.",10-16-1844,local
Mt. Vernon--O Martin.,10-16-1844,local
Trefiton Jefferson co.—J Simpson.,10-16-1844,local
Mt. Pleat Ehjait Sawyer.,10-16-1844,local
"Warren—A Moore,",10-16-1844,local
"Gallipolis—Il W Bell, J Gee,",10-16-1844,local
"Jackson—N Nukes, T Woodson.",10-16-1844,local
"Lebanon—T Benford. I. 8. Lewis,",10-16-1844,local
Massillon—J S Thompson.,10-16-1844,local
"Semmerton—A, Le Harper.",10-16-1844,local
"Oberlin—A Jones, J. M. Brown.",10-16-1844,local
Lower Sundusky A Winfield.,10-16-1844,local
Morgan county—\.loyd E Guy,10-16-1844,local
Putnum—J Thomas.,10-16-1844,local
"Terrchaute Tua—E, Roy,",10-16-1844,local
Lofayette Ia.—S B Websters,10-16-1844,local
Granville O. ‘I’ Wa'ker.,10-16-1844,local
Mudison Ila.—A Duncan.,10-16-1844,local
"(ndianopolis, Ia. J G Bretton.",10-16-1844,local
"Detroit, Mich.--R Banke, H Bibb.",10-16-1844,local
Piketon—-W Evans.,10-16-1844,local
"Richmond, Ross co. C Oston,",10-16-1844,local
"Sharonville--D Lucus, C Smith, W Poleon,",10-16-1844,local
"Miami co, 'T. Anderson, R. Smith.",10-16-1844,local
"Vanwertco. I, Taylor.",10-16-1844,local
Shelby co. U-Gulloway A N Redmon,10-16-1844,local
Champaign co. D. Lancaster.,10-16-1844,local
"Crawford co, A, Allen.",10-16-1844,local
"|New Albany, Ind.—G W Carter,",10-16-1844,local
| Wercer co. Rev. S Jones,10-16-1844,local
Licking co. F J Bailes,10-16-1844,local
| Wadison co. C Lewis,10-16-1844,local
"Grrenfield.— A. .J Scot,",10-16-1844,local
"liverpool, Eny.—itl E.R Lewis.",10-16-1844,local
"Lirerpool. Englaund—F. R Lewis,",10-16-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M. M.Clavk",10-16-1844,traveling
"sardina, Rev, E, Cumberland, Rev. S, ox |",10-16-1844,traveling
"Logan co, Rev. M 'T, Nusum,",10-16-1844,traveling
"Himilton. Rev. W. C Yancy,",10-16-1844,traveling
"Massillon, Rev. Je Thomas.",10-16-1844,traveling
"Wt, Pleasant, Kev. W. Newmon,",10-16-1844,traveling
"Juckson ca, Rev. ‘Ve. Woodson.",10-16-1844,traveling
"Cincinnati “ W Watson, A M Sumer,PU Yarev",10-23-1844,local
"if. milton, Butler co—ll Simpson.",10-23-1844,local
"Dayton, O.. T. Jeffersen.",10-23-1844,local
"Spring field W. Piles,",10-23-1844,local
"Urbatti-L Acams,",10-23-1844,local
"‘Chillicothe J Burnett, James Leach.",10-23-1844,local
Wircleritle HW Glasspy. G Stanup.,10-23-1844,local
"Lancaster S Sunth N Smuth,",10-23-1844,local
"Zanesville 1. Marta Ui Nusum, W Gasaway",10-23-1844,local
"Hillsbero J Tailor, N ‘Tailor.",10-23-1844,local
"W arren, Trumble co-—A Day",10-23-1844,local
Steubenville W rerris.,10-23-1844,local
"Newark— W Jeukins, G W Roots",10-23-1844,local
"‘Clecclund J Bell J L Wateen, R Robertson.",10-23-1844,local
"\Dabtin S White, jr.",10-23-1844,local
\VYenia W_ Roberts.,10-23-1844,local
"\Ldfan County--D. D. Day. K Artis, jr.",10-23-1844,local
Mt. Vernon—O tin.,10-23-1844,local
| Trenton Jcffirson’co.—J Simpson.,10-23-1844,local
\Mt. Pleasant--Ulijah Sawyer.,10-23-1844,local
Warren—A Moore.,10-23-1844,local
"Gallipolis—U W Well, J Gee,",10-23-1844,local
"\Juckson—-N Nukes, T Wooceon,",10-23-1844,local
"| Lebanon—'T Benford. I. S. Lewis,",10-23-1844,local
‘Massillon—J ST homps on.,10-23-1844,local
Recent. L+ Harper.,10-23-1844,local
"\Oberlin—A Jones, J. M. Brown.",10-23-1844,local
‘Lower Sandusky A Winfield.,10-23-1844,local
Morgan county—Lioyd E Guy,10-23-1844,local
"Putnum—J Thomas,",10-23-1844,local
"Terrchaute Iu—E, Roy, 4",10-23-1844,local
"Lu fayette lu—S B W ebster,",10-23-1844,local
Granville Q. ‘T Wa'ker.,10-23-1844,local
"Mudison la.—A Duncan,",10-23-1844,local
"Indianopolis, Ia. JG Bretton.",10-23-1844,local
"Detroit, Mich.--R Banks, H Bibb.",10-23-1844,local
"Piketon--W Evans,",10-23-1844,local
"Richmond, Ross co. C Oston,",10-23-1844,local
"Shuronville--D Lucue, C Smith, W Polson.",10-23-1844,local
"Miami co, ‘T. Anderson, R. Smith.",10-23-1844,local
"Vanwertco. Wl, Taylor.",10-23-1844,local
Shelby co. H Gulloway A N Redmon,10-23-1844,local
Champaign co. D. Lancaster.,10-23-1844,local
"Craicford co. A, Allen.",10-23-1844,local
"|New Albany, Ind.—G W Carter.",10-23-1844,local
\Mercer co. Rev. 3 Jones,10-23-1844,local
Licking co. F J Bailes,10-23-1844,local
Madison co. C Lewis,10-23-1844,local
Greenfield.— A. .J Scot.,10-23-1844,local
"Liverpool, Eny.—Ul. E.R Lewis.",10-23-1844,local
"Lirerpool, England—E. R Lewis,",10-23-1844,local
"Cincinnati, Rev. C, Sutchel, Rev. M. M Clark",10-23-1844,traveling
"warding, Rev. E, Cumberland, Rev. S. Pex.",10-23-1844,traveling
"Logan co, Rev. MT, Nusum,",10-23-1844,traveling
Hamilton. Rey. W. C Yaucy.,10-23-1844,traveling
Massillon. Rev. J. Thomas.,10-23-1844,traveling
"Mi, Pleasant. Rev. W. Newmon,",10-23-1844,traveling
ackson co. Rev. T. Woodson.,10-23-1844,traveling
"Cincinnati W W Watson, A M Sumer,W IE Yancy.",11-13-1844,local
"Homilton, Butler co.—}i Simpson.",11-13-1844,local
"Dayton, O.. T. Jefferson.",11-13-1844,local
"Springfield W. Piles,",11-13-1844,local
"Urbana-~-L Adame,",11-13-1844,local
"Chillicothe B, Cozens, James Leach.",11-13-1844,local
"Circleville H Glasspy, G-Stanup.",11-13-1844,local
"Lancaster S Smith N Smith,",11-13-1844,local
"Zanesville 1. Martin [1 Nusum, W Gasaway",11-13-1844,local
"Hillsboro J Tailor, N ‘lailor,",11-13-1844,local
"Warren, Trumble co-—A4 Day",11-13-1844,local
Steubenville W = Ferris.,11-13-1844,local
"Newark—\W Jenkins, G W Roots",11-13-1844,local
"Cleveland J Bell JL Watson, R Robertson,",11-13-1844,local
"Dublin S White, a0:",11-13-1844,local
Xenia W Roberta.,11-13-1844,local
"Logan County--D, D. Day. K Artis, jr,",11-13-1844,local
Mt. Vegnon--O Martin. —,11-13-1844,local
"Trenton, Jeffirson co.~ impson,",11-13-1844,local
"Me. Pleasant-~Elijah awyer,",11-13-1844,local
Warren—A Moore.,11-13-1844,local
"Gallipolis—I1 \W Bell, J Gee,",11-13-1844,local
"Jackson—N Nukes, T Woodson,",11-13-1844,local
"\Lebanon—'l’ Benford. by. S. Lewis,",11-13-1844,local
Massillon—J § Thompson.,11-13-1844,local
"Summerton—A, Le Harper.",11-13-1844,local
"Oberlin—A Jones, J. M. Brown.",11-13-1844,local
Lower Sandusky. A Winfield.,11-13-1844,local
Morgan county—Lloyd*E Guy,11-13-1844,local
Putnum—J Vhomas.,11-13-1844,local
"Terrchaute Ia—E. Roy, 4",11-13-1844,local
"Lafayette la—§ B Webster, .",11-13-1844,local
Granville O. ‘T Wa!ker.,11-13-1844,local
Madison la—A Duncan.,11-13-1844,local
"Indianopolis, Ia. J G Bretton.",11-13-1844,local
"Detroit, Mich.--R Banks, H Bibb.",11-13-1844,local
Piketon--W Evans.,11-13-1844,local
"Richmond, Ross co. C Oston,",11-13-1844,local
"Sharonvillc--) Lucus, C Smith, W Paulson.",11-13-1844,local
"Miami co. Anderson, R. Smith.",11-13-1844,local
"Vanwert co. I, Taylor,",11-13-1844,local
Shelby co. I] Gulloway A N Redmon,11-13-1844,local
"Champaign co. D, Lancaster.",11-13-1844,local
"Crawford co, A, Allen.",11-13-1844,local
"New Albany, Ind.—G Ww Carter,",11-13-1844,local
Mercer co. Rev. § Jones,11-13-1844,local
|Licking co. FJ Bailes,11-13-1844,local
"Madison co, C Lewis",11-13-1844,local
"Greenficld.—A, .J Scot.",11-13-1844,local
"Liverpoal, Euy.—[] E. R Lewis.",11-13-1844,local
"Liverpool, Englund—§ R Lewis.",11-13-1844,local
"Cincinnati, Rev. C. Satchel, Rev. MM Clark",11-13-1844,traveling
"Wardina, Rev, §. Cumberland, Rev. &. l'ex.",11-13-1844,traveling
"Loganco, Rev. MT’, Nusum,",11-13-1844,traveling
"Himilton. Rev. W. C Yancy,",11-13-1844,traveling
"Mt, Pleasant, Rey. W. New mon,",11-13-1844,traveling
"East Libery. E. C, Tyner,",11-13-1844,traveling
"Wilmington Clinton, co.,S. Depp,",11-13-1844,traveling
,,
 ,,
