LOCAL AGENTS,Date,Agent
"Zanesville—B Messer, Nusum, W Gasaway",04-24-1844,local
"Hillsboro—J Tailor, N Tailor.",04-24-1844,local
Sleubenrille—W. Ferris.,04-24-1844,local
"Newark—W JSenkins, H Robinson,",04-24-1844,local
"Cleveland—J Malvin, J L Watson, RD",04-24-1844,local
Kenney.,04-24-1844,local
"Dublin—S White, jr.",04-24-1844,local
"Neniu--W Roberts,",04-24-1844,local
"Logan County--K Artis, sen, K Artis, jr,",04-24-1844,local
"Mt. Vernon—O Martin. ,",04-24-1844,local
Trenton Jcfferson co.—J Simpson.,04-24-1844,local
Mt. Pleasant--Elijah Sawyer.,04-24-1844,local
PWarren--A Mosre.,04-24-1844,local
"Gallipolis—I1BBell, J Gee, :",04-24-1844,local
"Jackson—N* Nukes, T Woodson,",04-24-1844,local
"Lebanon—'l’ Benford,",04-24-1844,local
Massillon—J S$ ‘Ihompson.,04-24-1844,local
Barnesville—A arper.,04-24-1844,local
"Oberlin—A Jones, WV P Newman.",04-24-1844,local
Lower Sundusky—A Winfield.,04-24-1844,local
Lockburuc--E C Tyner.,04-24-1844,local
Morgan county—\.loyd E Guy.,04-24-1844,local
Putaum—J 'Vhomas. :,04-24-1844,local
"Terrchaute lak, Ray,",04-24-1844,local
Lafayette Ia— 8 B Webster.,04-24-1844,local
Granville O. ‘I’ Waker. 4,04-24-1844,local
"Vew York City—C B Ray, TS Wright",04-24-1844,local
"Troy, N ¥—11 Garnett.",04-24-1844,local
"Utica, N Y--T Woodson, J Fountain,",04-24-1844,local
"Genera, N Y—J W Dufiin.",04-24-1844,local
Rochester N Y-.J Sharp.,04-24-1844,local
Bataria N Y~W Johnson.,04-24-1844,local
"Brockport N Y—A Peck,",04-24-1844,local
"Lockport, N Y--A Outley.",04-24-1844,local
"Buffalo, N Y—w w Brown, A II Francis.",04-24-1844,local
"Boston, Mass --J 'T Hilton.",04-24-1844,local
"Pittsburgh, Pa.~J B Vashon,",04-24-1844,local
Mudison la.—A Duncan.,04-24-1844,local
"Indianopolis, Ia,—J G Bretton.",04-24-1844,local
"Detroit, Mich.--R Banks, WC Monroe.",04-24-1844,local
"Piketon-~-W Evans,",04-24-1844,local
"Richmond, Ross co. —C Oston, t",04-24-1844,local
"Sharonville--D Lucus, C Smith, W Polson.",04-24-1844,local
"Miami co. 'T. Anderson, R. Smith.",04-24-1844,local
"Vanwertco. U, Tay lor.",04-24-1844,local
Shelby co. J. Robertson.,04-24-1844,local
"Lagan co. D. D. Day,",04-24-1844,local
"Champaign co. D, Lancaster.",04-24-1844,local
"Crawford co. A, Allen.",04-24-1844,local
"Cincinnati, Rey. C. Satchel, Rev. M.M Clark.",04-24-1844,traveling
"Springfield. Rev, Ty Roberts, -",04-24-1844,traveling
"Zanesville, Rey. Geo. Coleman.",04-24-1844,traveling
"“ardina, Rey. £, Cumberland, Rev. S. Pox.,",04-24-1844,traveling
"Xenia. Rev. D, Winslow,",04-24-1844,traveling
"Logan ce, Rev. MT’. Nusum.",04-24-1844,traveling
Himilton. Rey. W. C Yancy.,04-24-1844,traveling
"Massillon. Rev. J, Thomas.",04-24-1844,traveling
"Columbus. Rev. W, Shelton, Rev. T. Lawrence,",04-24-1844,traveling
"M1, Pleasdht. Rey. W. Newmon..",04-24-1844,traveling
"Jackson co, Rey. T. Woodson.",04-24-1844,traveling
"Butler co. J. U, Yancy, S. Jones..",04-24-1844,traveling
"Cincinnati a Watson, A M Sumner,WTF Yancy.",05-01-1844,local
"Hamilton, Butler co.—Hi Simpson.",05-01-1844,local
"Dayton, O.. T. Jefferson.",05-01-1844,local
"Springfield WW, Piles, R. Piles,",05-01-1844,local
"Urbana--L Adams, A Kane.",05-01-1844,local
"Chillicothe K W Chanceller, James Leach,",05-01-1844,local
"U Moody, C H Langston, J Burnett.",05-01-1844,local
Circleville? W Scott.,05-01-1844,local
"Lancaster 8S Smith N Smith, Rev. I. Martin",05-01-1844,local
